Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
23,1.17328461,0.353497877,0.283905065,1.133563318,-0.172577182,-0.916053707,0.369024845,-0.327260242,-0.246651028,-0.046139302,-0.143418527,0.979350376,1.492285435,0.101417526,0.761477545,-0.014584082,-0.511640117,-0.325056355,-0.390933798,0.027877909,0.067003304,0.227811928,-0.150487225,0.435045103,0.72482458,-0.33708206,0.016368379,0.030041191,41.88,0
62059,-1.644403097,3.129851933,-2.576976822,3.415573363,-0.448525407,-1.241892856,-1.991652188,1.00266489,-2.809071243,-4.153692406,1.398185119,-5.653269702,-1.233694138,-6.332512815,0.4587148,-1.983609608,-4.929162023,-1.038482085,-0.1338192,0.290186829,0.417762091,-0.648575872,-0.318617393,-0.680412932,0.389868676,0.055750296,0.394681955,0.298820726,6.62,1
62059,-1.644403097,3.129851933,-2.576976822,3.415573363,-0.448525407,-1.241892856,-1.991652188,1.00266489,-2.809071243,-4.153692406,1.398185119,-5.653269702,-1.233694138,-6.332512815,0.4587148,-1.983609608,-4.929162023,-1.038482085,-0.1338192,0.290186829,0.417762091,-0.648575872,-0.318617393,-0.680412932,0.389868676,0.055750296,0.394681955,0.298820726,6.62,1
493,1.219725093,-0.481148941,-0.324350971,-1.552562458,-0.25835656,-0.519341605,-0.035457768,-0.117824448,1.267125148,-1.068542481,-0.638446071,0.352484877,0.060428419,0.33282311,1.999235669,-0.505570625,-0.160606032,-0.332377621,0.646091265,0.035717841,-0.040427515,-0.106937606,-0.171757701,-0.721597142,0.525567582,0.084212262,-0.001620871,0.011865904,67.94,0
494,0.058500976,1.058661274,1.076857208,1.589043457,-0.400076711,-0.677460759,0.778466139,-0.303556603,-0.630844382,0.230737263,0.015912464,0.549292788,1.123662121,0.146945984,1.428014555,-0.697686072,0.108457149,-0.015594704,1.176153302,0.104400604,0.19287902,0.70219368,0.217738038,0.736016657,-1.276797901,-0.461653958,0.205261258,0.250663836,54.99,0
4461,-1.653528053,2.131573097,1.977165796,2.990606795,-0.397348701,1.735092458,-1.205031721,-1.695985759,0.625114822,0.102576881,-0.957477444,-2.019250591,2.959430315,0.99778127,-0.976983951,-0.069554989,1.138899389,0.44428191,1.316189314,-0.293546495,1.933406779,-1.249552101,0.033834138,-0.638437689,0.300744915,0.250025216,0.365140942,0.076060306,18.98,0
4462,-0.266663421,0.28989972,2.133333894,-0.251132424,-0.703525979,0.273459811,-0.219360103,-0.104764514,-0.342512804,0.085372861,-0.084437899,-2.721019956,3.449998086,1.021172384,1.161175274,-1.490339957,0.835545783,1.858884337,1.080689008,0.010620407,-0.576810592,-0.947067212,-0.048391378,-0.473069623,-0.240062042,1.15188115,0.021538264,0.075835065,51.95,0
4462,-2.017787859,2.316419144,1.633048245,3.0577729,-0.702661415,1.711439521,-1.558641433,-1.353580091,0.401657389,-0.21230852,-1.112095975,-1.868420609,3.027535372,1.315005882,-1.014975561,0.049825431,1.303208654,0.483606008,1.344718102,-0.548262383,2.044951077,-1.24559329,0.073261886,-0.635990832,0.245448218,0.22018863,-0.145998399,-0.048743811,18.98,0
4462,-2.303349568,1.75924746,-0.359744743,2.330243051,-0.821628328,-0.075787571,0.562319782,-0.399146578,-0.238253368,-1.525411627,2.032912158,-6.560124295,0.022937323,-1.470101536,-0.698826069,-2.282193829,-4.781830856,-2.615664945,-1.334441067,-0.430021867,-0.294166318,-0.932391057,0.172726296,-0.087329538,-0.156114265,-0.542627889,0.039565989,-0.153028797,239.93,1
4466,-4.052161401,-2.294421204,1.151779864,-0.418828708,-0.601492322,0.617778039,1.034349806,-0.248810331,2.856871881,0.117281184,1.893709995,-2.207947624,0.885212951,0.573973625,-1.043580291,0.575503656,0.037205175,0.066969761,-0.54607087,-0.632570992,-0.774119432,-0.226018514,-0.250626698,-0.230369787,0.030030723,0.84842359,0.260184089,1.353477463,500,0
6984,1.044507788,-0.297787817,1.065768976,1.035483693,-0.766252469,0.368519349,-0.668620335,0.236703415,2.122734196,-0.555111508,1.917775044,-1.543915133,0.491048578,1.373296194,-1.992919107,-0.620528135,1.145369097,-0.269442947,0.008396194,-0.192110449,-0.194848824,-0.092029867,-0.024589805,0.210360546,0.317684738,0.488899068,-0.030248426,-0.001423156,37.16,0
6986,-0.749298914,0.658386598,2.49594071,0.34168829,-0.071141954,0.032153516,0.487600501,-0.297604141,2.025355251,-0.1609825,0.784734621,-2.218681581,1.804592834,0.480904362,-0.626215012,-0.763881132,0.79114576,-0.389926241,-0.618909007,0.317882407,-0.111331625,0.702266042,-0.187835551,0.408162317,-0.234448429,0.373691988,0.133899897,-0.172056715,29.99,0
